PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5590,2330,1908,894,2355,700,679,880,716,772,,,11248,5576
OTHER ACCOMODATION FACILITIES,,940,,,,,,94,120,,,,,1034,
"HELLENIC POLICE
FACILITIES",P.D.C.,143,210,,,,,,,83,500,,,226,710
,DETENTION FACILITIES,4,40,19,18,29,24,9,6,4,35,46,68,111,191
U.N.H.C.R.,,353,485,227,239,102,144,66,80,112,140,82,87,942,1175
N.C.S.S.,,164,180,13,18,15,15,,,,,,,192,213
OTHER N.G.O.s,,89,,,,,,,,,,,,89,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,3,,3,
MIGRANTS PRESENT ON THE ISLAND,,7283,,2167,,2501,,848,,915,,131,,13845,
ARRIVALS,,0,,0,,0,,0,,0,,0,,0,
TRANSPORTSTO THE MAINLAND,,339,,3,,0,,0,,0,,0,,342,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,10,,0,,0,,1,,4,,0,,15,
TOTAL DEPARTURES FROM THE ISLAND,,10,,0,,0,,1,,4,,0,,15,
