PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8336,3100,2383,1014,3987,648,730,860,1235,816,,,16671,6438
OTHER ACCOMODATION FACILITIES,,1190,,,,,,110,120,,,,,1300,
"HELLENIC POLICE
FACILITIES",P.D.C.,86,210,,,,,,,123,500,,,209,710
,DETENTION FACILITIES,1,40,7,18,13,24,5,6,1,36,39,63,66,187
U.N.H.C.R.,,573,677,231,250,209,236,82,116,135,189,60,105,1290,1573
N.C.S.S.,,145,158,13,18,11,12,,,,,,,169,188
OTHER N.G.O.s,,100,,,,,,,,,,,,100,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,15,,15,
MIGRANTS PRESENT ON THE ISLAND,,10431,,2634,,4220,,927,,1494,,114,,19820,
ARRIVALS,,0,,0,,1,,0,,2,,0,,3,
TRANSPORTSTO THE MAINLAND,,107,,8,,0,,0,,0,,0,,115,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
