PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6711,3000,1427,1014,2876,648,701,860,867,816,,,12582,6338
OTHER ACCOMODATION FACILITIES,,1149,,,,,,95,120,,,,,1244,
"HELLENIC POLICE
FACILITIES",P.D.C.,134,210,,,,,,,66,500,,,200,710
,DETENTION FACILITIES,2,40,21,18,7,24,3,6,4,35,24,63,61,186
U.N.H.C.R.,,540,607,183,248,221,245,98,116,146,161,67,109,1255,1486
N.C.S.S.,,173,180,19,18,8,8,,,,,,,200,206
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8793,,1650,,3112,,897,,1083,,91,,15626,
ARRIVALS,,0,,0,,0,,0,,0,,0,,0,
TRANSPORTSTO THE MAINLAND,,7,,0,,0,,1,,11,,0,,19,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
