PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6339,3000,1363,1014,2895,648,603,860,942,816,,,12142,6338
OTHER ACCOMODATION FACILITIES,,1176,,,,,,95,120,,,,,1271,
"HELLENIC POLICE
FACILITIES",P.D.C.,129,210,,,,,,,64,500,,,193,710
,DETENTION FACILITIES,3,40,14,18,14,24,3,6,1,35,37,63,72,186
U.N.H.C.R.,,558,601,206,236,229,235,102,116,144,161,62,103,1301,1452
N.C.S.S.,,176,180,16,18,12,12,,,,,,,204,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8465,,1599,,3150,,803,,1151,,99,,15267,
ARRIVALS,,139,,0,,0,,0,,2,,0,,141,
TRANSPORTSTO THE MAINLAND,,1,,0,,8,,0,,0,,0,,9,
DEPARTURES (EU-TURKEY STATEMENT),,2,,0,,2,,1,,2,,0,,7,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,2,,0,,2,,1,,2,,0,,7,
