PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6456,3000,1326,1014,2984,648,603,860,908,816,,,12277,6338
OTHER ACCOMODATION FACILITIES,,1221,,,,,,95,120,,,,,1316,
"HELLENIC POLICE
FACILITIES",P.D.C.,131,210,,,,,,,73,500,,,204,710
,DETENTION FACILITIES,2,40,12,18,13,24,0,6,0,35,40,63,67,186
U.N.H.C.R.,,566,601,184,236,228,235,102,116,149,161,62,103,1291,1452
N.C.S.S.,,176,180,16,18,12,12,,,,,,,204,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8636,,1538,,3237,,800,,1130,,102,,15443,
ARRIVALS,,55,,0,,0,,0,,0,,0,,55,
TRANSPORTSTO THE MAINLAND,,21,,26,,128,,0,,0,,4,,179,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
