PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8700,3100,2369,1014,3904,648,708,860,1235,816,,,16916,6438
OTHER ACCOMODATION FACILITIES,,1190,,,,,,90,120,,,,,1280,
"HELLENIC POLICE
FACILITIES",P.D.C.,106,210,,,,,,,135,500,,,241,710
,DETENTION FACILITIES,1,40,17,18,13,24,7,6,0,36,57,63,95,187
U.N.H.C.R.,,590,677,221,250,205,236,90,116,154,189,60,105,1320,1573
N.C.S.S.,,144,158,16,18,11,12,,,,,,,171,188
OTHER N.G.O.s,,100,,,,,,,,,,,,100,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,10831,,2623,,4133,,895,,1524,,117,,20123,
ARRIVALS,,22,,48,,49,,0,,0,,82,,201,
TRANSPORTSTO THE MAINLAND,,1,,0,,0,,0,,0,,0,,1,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
