PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5507,2330,1821,894,2503,700,622,880,667,772,,,11120,5576
OTHER ACCOMODATION FACILITIES,,1131,,,,,,82,120,,,,,1213,
"HELLENIC POLICE
FACILITIES",P.D.C.,169,210,,,,,,,89,500,,,258,710
,DETENTION FACILITIES,5,40,30,18,28,24,0,6,2,35,26,63,91,186
U.N.H.C.R.,,431,532,222,249,111,143,63,109,98,140,81,87,1006,1260
N.C.S.S.,,175,180,18,18,14,14,,,,,,,207,212
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7505,,2091,,2656,,767,,856,,107,,13982,
ARRIVALS,,39,,17,,0,,0,,4,,0,,60,
TRANSPORTSTO THE MAINLAND,,0,,0,,49,,0,,3,,5,,57,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
