PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7474,3100,1883,1014,3557,648,752,860,1125,816,,,14791,6438
OTHER ACCOMODATION FACILITIES,,1157,,,,,,98,120,,,,,1255,
"HELLENIC POLICE
FACILITIES",P.D.C.,128,210,,,,,,,94,500,,,222,710
,DETENTION FACILITIES,7,40,21,18,19,24,5,6,1,36,24,68,77,192
U.N.H.C.R.,,606,679,225,250,201,227,99,116,150,189,68,105,1349,1566
N.C.S.S.,,160,168,17,18,11,12,,,,,,,188,198
OTHER N.G.O.s,,83,,,,,,,,,,,,83,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9615,,2146,,3788,,954,,1370,,92,,17965,
ARRIVALS,,61,,0,,0,,0,,35,,0,,96,
TRANSPORTSTO THE MAINLAND,,2,,55,,0,,20,,17,,2,,96,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
