PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7370,3000,1754,1014,2998,648,804,860,882,816,,,13808,6338
OTHER ACCOMODATION FACILITIES,,1141,,,,,,120,120,,,,,1261,
"HELLENIC POLICE
FACILITIES",P.D.C.,123,210,,,,,,,116,500,,,239,710
,DETENTION FACILITIES,0,40,16,18,13,24,3,6,2,35,32,63,66,186
U.N.H.C.R.,,547,651,213,248,240,245,100,116,168,189,73,101,1341,1550
N.C.S.S.,,166,172,17,18,8,8,,,,,,,191,198
OTHER N.G.O.s,,93,,,,,,,,,,,,93,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9440,,2000,,3259,,1027,,1168,,105,,16999,
ARRIVALS,,0,,0,,38,,0,,0,,47,,85,
TRANSPORTSTO THE MAINLAND,,2,,0,,1,,0,,3,,0,,6,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
