PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7470,3100,2000,1014,3606,648,792,860,958,816,,,14826,6438
OTHER ACCOMODATION FACILITIES,,1181,,,,,,106,120,,,,,1287,
"HELLENIC POLICE
FACILITIES",P.D.C.,118,210,,,,,,,95,500,,,213,710
,DETENTION FACILITIES,5,40,16,18,10,24,1,6,1,36,35,63,68,187
U.N.H.C.R.,,599,679,206,250,232,227,90,116,144,189,67,105,1338,1566
N.C.S.S.,,160,168,17,18,11,12,,,,,,,188,198
OTHER N.G.O.s,,75,,,,,,,,,,,,75,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9608,,2239,,3859,,989,,1198,,102,,17995,
ARRIVALS,,0,,0,,0,,0,,0,,68,,68,
TRANSPORTSTO THE MAINLAND,,123,,53,,0,,8,,3,,5,,192,
DEPARTURES(EU-TURKEY STATEMENT),,9,,0,,0,,0,,0,,0,,9,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,9,,0,,0,,0,,0,,0,,9,
