PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6156,2330,2033,894,2222,700,709,880,750,772,,,11870,5576
OTHER ACCOMODATION FACILITIES,,1140,,,,,,96,120,,,,,1236,
"HELLENIC POLICE
FACILITIES",P.D.C.,139,210,,,,,,,91,500,,,230,710
,DETENTION FACILITIES,4,40,20,18,26,24,3,6,2,35,43,68,98,191
U.N.H.C.R.,,342,485,226,239,110,140,66,80,106,140,81,87,931,1171
N.C.S.S.,,173,188,15,15,14,14,,,,,,,202,217
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,11,,11,
MIGRANTS PRESENT ON THE ISLAND,,8038,,2294,,2372,,874,,949,,135,,14662,
ARRIVALS,,63,,0,,125,,0,,0,,0,,188,
TRANSPORTSTO THE MAINLAND,,158,,26,,0,,3,,1,,0,,188,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
