PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6238,2330,2029,894,2275,700,721,880,729,772,,,11992,5576
OTHER ACCOMODATION FACILITIES,,1140,,,,,,96,120,,,,,1236,
"HELLENIC POLICE
FACILITIES",P.D.C.,146,210,,,,,,,92,500,,,238,710
,DETENTION FACILITIES,16,40,15,18,24,24,3,6,5,35,43,68,106,191
U.N.H.C.R.,,342,485,226,239,102,144,66,80,106,140,81,87,923,1175
N.C.S.S.,,173,188,15,15,14,14,,,,,,,202,217
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,11,,11,
MIGRANTS PRESENT ON THE ISLAND,,8139,,2285,,2415,,886,,932,,135,,14792,
ARRIVALS,,145,,0,,19,,11,,0,,0,,175,
TRANSPORTSTO THE MAINLAND,,39,,6,,0,,0,,15,,0,,60,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
