PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,4932,3000,1282,894,2357,700,532,880,739,772,,,9842,6246
OTHER ACCOMODATION FACILITIES,,1152,,,,,,60,120,,,,,1212,
"HELLENIC POLICE
FACILITIES",P.D.C.,110,210,,,,,,,96,500,,,206,710
,DETENTION FACILITIES,5,40,26,18,15,24,4,6,0,35,32,63,82,186
U.N.H.C.R.,,460,557,212,251,172,173,85,116,120,130,72,95,1121,1322
N.C.S.S.,,170,180,17,18,10,10,,,,,,,197,208
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,6913,,1537,,2554,,681,,955,,104,,12744,
ARRIVALS,,48,,0,,44,,0,,0,,0,,92,
TRANSPORTSTO THE MAINLAND,,5,,11,,58,,0,,0,,0,,74,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,2,,0,,2,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,2,,0,,2,
