PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5674,3000,1191,1014,2467,648,642,860,893,816,,,10867,6338
OTHER ACCOMODATION FACILITIES,,1217,,,,,,89,120,,,,,1306,
"HELLENIC POLICE
FACILITIES",P.D.C.,134,210,,,,,,,66,500,,,200,710
,DETENTION FACILITIES,7,40,13,18,11,24,4,6,1,35,30,63,66,186
U.N.H.C.R.,,520,599,201,259,221,235,102,116,135,161,60,99,1239,1469
N.C.S.S.,,176,180,16,18,12,12,,,,,,,204,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7812,,1421,,2711,,837,,1095,,90,,13966,
ARRIVALS,,321,,0,,0,,0,,47,,0,,368,
TRANSPORTSTO THE MAINLAND,,4,,1,,0,,0,,3,,1,,9,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
