PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7995,3100,2017,1014,3585,648,766,860,1108,816,,,15471,6438
OTHER ACCOMODATION FACILITIES,,1193,,,,,,98,120,,,,,1291,
"HELLENIC POLICE
FACILITIES",P.D.C.,131,210,,,,,,,107,500,,,238,710
,DETENTION FACILITIES,6,40,28,18,13,24,4,6,1,36,28,68,80,192
U.N.H.C.R.,,620,677,203,250,222,227,103,116,163,189,68,105,1379,1564
N.C.S.S.,,164,168,17,18,11,12,,,,,,,192,198
OTHER N.G.O.s,,83,,,,,,,,,,,,83,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,10192,,2265,,3831,,971,,1379,,96,,18734,
ARRIVALS,,81,,0,,11,,0,,15,,0,,107,
TRANSPORTSTO THE MAINLAND,,1,,5,,1,,0,,2,,4,,13,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
