PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7192,3000,1610,1014,3586,648,792,860,920,816,,,14100,6338
OTHER ACCOMODATION FACILITIES,,1207,,,,,,118,120,,,,,1325,
"HELLENIC POLICE
FACILITIES",P.D.C.,87,210,,,,,,,109,500,,,196,710
,DETENTION FACILITIES,5,40,25,18,9,24,1,6,0,36,40,63,80,187
U.N.H.C.R.,,597,661,200,248,235,245,89,116,165,189,75,105,1361,1564
N.C.S.S.,,177,198,18,19,5,12,,,,,,,200,229
OTHER N.G.O.s,,342,,,,,,,,,,,,342,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9607,,1853,,3835,,1000,,1194,,115,,17604,
ARRIVALS,,59,,0,,53,,0,,11,,0,,123,
TRANSPORTSTO THE MAINLAND,,13,,4,,51,,16,,2,,0,,86,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
