PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6473,3000,1326,1014,2984,648,603,860,938,816,,,12324,6338
OTHER ACCOMODATION FACILITIES,,1176,,,,,,95,120,,,,,1271,
"HELLENIC POLICE
FACILITIES",P.D.C.,134,210,,,,,,,73,500,,,207,710
,DETENTION FACILITIES,2,40,13,18,12,24,2,6,1,35,40,63,70,186
U.N.H.C.R.,,560,601,207,236,228,235,102,116,145,161,62,103,1304,1452
N.C.S.S.,,176,180,16,18,12,12,,,,,,,204,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8605,,1562,,3236,,802,,1157,,102,,15464,
ARRIVALS,,44,,0,,0,,0,,0,,0,,44,
TRANSPORTSTO THE MAINLAND,,1,,3,,2,,0,,1,,0,,7,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,6,,3,,0,,0,,0,,9,
TOTAL DEPARTURES FROM THE ISLAND,,0,,6,,3,,0,,0,,0,,9,
