PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7266,3000,1570,1014,2908,648,710,860,943,816,,,13397,6338
OTHER ACCOMODATION FACILITIES,,1161,,,,,,111,120,,,,,1272,
"HELLENIC POLICE
FACILITIES",P.D.C.,143,210,,,,,,,65,500,,,208,710
,DETENTION FACILITIES,1,40,16,18,10,24,3,6,1,35,27,63,58,186
U.N.H.C.R.,,533,621,210,248,238,245,83,116,142,161,65,101,1271,1492
N.C.S.S.,,176,180,18,18,8,8,,,,,,,202,206
OTHER N.G.O.s,,92,,,,,,,,,,,,92,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9372,,1814,,3164,,907,,1151,,92,,16500,
ARRIVALS,,43,,0,,0,,0,,0,,0,,43,
TRANSPORTSTO THE MAINLAND,,66,,11,,4,,13,,4,,8,,106,
DEPARTURES(EU-TURKEY STATEMENT),,1,,0,,1,,0,,0,,0,,2,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,1,,0,,1,,0,,0,,0,,2,
