PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6278,3000,1464,1014,2900,648,633,860,940,816,,,12215,6338
OTHER ACCOMODATION FACILITIES,,1176,,,,,,95,120,,,,,1271,
"HELLENIC POLICE
FACILITIES",P.D.C.,126,210,,,,,,,65,500,,,191,710
,DETENTION FACILITIES,14,40,14,18,13,24,1,6,0,35,38,63,80,186
U.N.H.C.R.,,546,598,206,236,229,235,102,116,144,161,62,103,1289,1449
N.C.S.S.,,176,180,16,18,12,12,,,,,,,204,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8400,,1700,,3154,,831,,1149,,100,,15334,
ARRIVALS,,59,,34,,0,,0,,0,,0,,93,
TRANSPORTSTO THE MAINLAND,,56,,62,,0,,2,,0,,2,,122,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
