PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7083,3000,1625,1014,2916,648,732,860,853,816,,,13209,6338
OTHER ACCOMODATION FACILITIES,,1124,,,,,,95,120,,,,,1219,
"HELLENIC POLICE
FACILITIES",P.D.C.,142,210,,,,,,,65,500,,,207,710
,DETENTION FACILITIES,2,40,16,18,7,24,4,6,3,35,25,63,57,186
U.N.H.C.R.,,524,607,210,248,239,245,98,116,141,161,61,101,1273,1478
N.C.S.S.,,173,180,19,18,8,8,,,,,,,200,206
OTHER N.G.O.s,,92,,,,,,,,,,,,92,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,31,,31,
MIGRANTS PRESENT ON THE ISLAND,,9140,,1870,,3170,,929,,1062,,117,,16288,
ARRIVALS,,96,,0,,0,,0,,0,,0,,96,
TRANSPORTSTO THE MAINLAND,,4,,0,,2,,0,,0,,0,,6,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
