PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5945,3000,1269,1014,2817,648,633,860,896,816,,,11560,6338
OTHER ACCOMODATION FACILITIES,,1217,,,,,,95,120,,,,,1312,
"HELLENIC POLICE
FACILITIES",P.D.C.,129,210,,,,,,,67,500,,,196,710
,DETENTION FACILITIES,2,40,15,18,22,24,3,6,1,35,37,63,80,186
U.N.H.C.R.,,543,598,201,259,223,235,102,116,144,161,61,103,1274,1472
N.C.S.S.,,175,180,16,18,10,10,,,,,,,201,208
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8095,,1501,,3072,,833,,1108,,98,,14707,
ARRIVALS,,169,,35,,0,,0,,0,,0,,204,
TRANSPORTSTO THE MAINLAND,,37,,9,,0,,1,,5,,0,,52,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
