PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7309,3000,1468,1014,3075,648,804,860,851,816,,,13507,6338
OTHER ACCOMODATION FACILITIES,,1141,,,,,,120,120,,,,,1261,
"HELLENIC POLICE
FACILITIES",P.D.C.,126,210,,,,,,,121,500,,,247,710
,DETENTION FACILITIES,0,40,16,18,12,24,1,6,2,35,48,63,79,186
U.N.H.C.R.,,550,655,215,248,247,245,100,116,168,189,73,105,1353,1558
N.C.S.S.,,166,172,17,18,8,8,,,,,,,191,198
OTHER N.G.O.s,,93,,,,,,,,,,,,93,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9385,,1716,,3342,,1025,,1142,,121,,16731,
ARRIVALS,,0,,0,,36,,0,,0,,13,,49,
TRANSPORTSTO THE MAINLAND,,3,,6,,29,,7,,11,,0,,56,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
