PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5530,2330,1856,894,2306,700,675,880,681,772,,,11048,5576
OTHER ACCOMODATION FACILITIES,,1059,,,,,,94,120,,,,,1153,
"HELLENIC POLICE
FACILITIES",P.D.C.,155,210,,,,,,,89,500,,,244,710
,DETENTION FACILITIES,13,40,24,18,27,24,4,6,2,35,46,63,116,186
U.N.H.C.R.,,351,497,217,239,84,144,66,80,106,140,81,87,905,1187
N.C.S.S.,,164,180,13,18,15,15,,,,,,,192,213
OTHER N.G.O.s,,89,,,,,,,,,,,,89,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,3,,3,
MIGRANTS PRESENT ON THE ISLAND,,7361,,2110,,2432,,839,,878,,130,,13750,
ARRIVALS,,196,,0,,0,,0,,0,,0,,196,
TRANSPORTSTO THE MAINLAND,,22,,8,,0,,8,,42,,6,,86,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,2,,0,,0,,0,,0,,2,
TOTAL DEPARTURES FROM THE ISLAND,,0,,2,,0,,0,,0,,0,,2,
