PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7701,3100,2379,1014,3884,648,716,860,1181,816,,,15861,6438
OTHER ACCOMODATION FACILITIES,,1190,,,,,,110,120,,,,,1300,
"HELLENIC POLICE
FACILITIES",P.D.C.,77,210,,,,,,,125,500,,,202,710
,DETENTION FACILITIES,1,40,5,18,13,24,6,6,0,36,39,63,64,187
U.N.H.C.R.,,569,677,234,250,217,245,82,116,148,189,60,105,1310,1582
N.C.S.S.,,145,158,13,18,11,12,,,,,,,169,188
OTHER N.G.O.s,,100,,,,,,,,,,,,100,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,15,,15,
MIGRANTS PRESENT ON THE ISLAND,,9783,,2631,,4125,,914,,1454,,114,,19021,
ARRIVALS,,0,,0,,40,,0,,1,,0,,41,
TRANSPORTSTO THE MAINLAND,,245,,74,,95,,0,,1,,0,,415,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,4,,0,,0,,0,,0,,0,,4,
TOTAL DEPARTURES FROM THE ISLAND,,4,,0,,0,,0,,0,,0,,4,
