PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7422,3100,1949,1014,3576,648,792,860,1023,816,,,14762,6438
OTHER ACCOMODATION FACILITIES,,1181,,,,,,106,120,,,,,1287,
"HELLENIC POLICE
FACILITIES",P.D.C.,120,210,,,,,,,98,500,,,218,710
,DETENTION FACILITIES,1,40,35,18,13,24,5,6,0,36,32,63,86,187
U.N.H.C.R.,,589,679,213,250,223,227,90,116,153,189,65,105,1333,1566
N.C.S.S.,,160,168,17,18,11,12,,,,,,,188,198
OTHER N.G.O.s,,75,,,,,,,,,,,,75,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9548,,2214,,3823,,993,,1274,,97,,17949,
ARRIVALS,,35,,0,,0,,0,,14,,0,,49,
TRANSPORTSTO THE MAINLAND,,23,,52,,73,,17,,0,,8,,173,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
