PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7403,3100,1859,1014,3656,648,805,860,932,816,,,14655,6438
OTHER ACCOMODATION FACILITIES,,1161,,,,,,117,120,,,,,1278,
"HELLENIC POLICE
FACILITIES",P.D.C.,115,210,,,,,,,99,500,,,214,710
,DETENTION FACILITIES,3,40,16,18,9,24,1,6,3,36,38,63,70,187
U.N.H.C.R.,,584,681,189,248,241,240,111,116,175,189,57,105,1357,1579
N.C.S.S.,,153,168,18,18,10,12,,,,,,,181,198
OTHER N.G.O.s,,98,,,,,,,,,,,,98,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9517,,2082,,3916,,1034,,1209,,95,,17853,
ARRIVALS,,89,,0,,1,,0,,14,,0,,104,
TRANSPORTSTO THE MAINLAND,,60,,43,,9,,0,,0,,6,,118,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
