PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7991,3100,2423,1014,3845,648,730,860,1185,816,,,16174,6438
OTHER ACCOMODATION FACILITIES,,1190,,,,,,110,120,,,,,1300,
"HELLENIC POLICE
FACILITIES",P.D.C.,75,210,,,,,,,125,500,,,200,710
,DETENTION FACILITIES,9,40,3,18,13,24,5,6,0,36,38,63,68,187
U.N.H.C.R.,,573,677,234,250,209,236,82,116,144,189,60,105,1302,1573
N.C.S.S.,,145,158,13,18,11,12,,,,,,,169,188
OTHER N.G.O.s,,100,,,,,,,,,,,,100,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,15,,15,
MIGRANTS PRESENT ON THE ISLAND,,10083,,2673,,4078,,927,,1454,,113,,19328,
ARRIVALS,,0,,0,,15,,0,,0,,0,,15,
TRANSPORTSTO THE MAINLAND,,0,,0,,0,,4,,0,,0,,4,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,4,,0,,4,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,4,,0,,4,
