PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7402,3100,1938,1014,3557,648,752,860,1107,816,,,14756,6438
OTHER ACCOMODATION FACILITIES,,1157,,,,,,98,120,,,,,1255,
"HELLENIC POLICE
FACILITIES",P.D.C.,128,210,,,,,,,94,500,,,222,710
,DETENTION FACILITIES,2,40,25,18,24,24,5,6,0,36,36,68,92,192
U.N.H.C.R.,,606,679,225,250,201,227,99,116,150,189,68,105,1349,1566
N.C.S.S.,,160,168,17,18,11,12,,,,,,,188,198
OTHER N.G.O.s,,83,,,,,,,,,,,,83,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9538,,2205,,3793,,954,,1351,,104,,17945,
ARRIVALS,,34,,0,,0,,0,,49,,0,,83,
TRANSPORTSTO THE MAINLAND,,0,,8,,0,,0,,0,,2,,10,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
