PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7296,3000,1468,1014,3057,648,804,860,865,816,,,13490,6338
OTHER ACCOMODATION FACILITIES,,1143,,,,,,120,120,,,,,1263,
"HELLENIC POLICE
FACILITIES",P.D.C.,124,210,,,,,,,122,500,,,246,710
,DETENTION FACILITIES,0,40,20,18,12,24,1,6,2,35,40,63,75,186
U.N.H.C.R.,,548,655,214,248,247,245,100,116,168,189,73,105,1350,1558
N.C.S.S.,,166,172,17,18,8,8,,,,,,,191,198
OTHER N.G.O.s,,93,,,,,,,,,,,,93,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9370,,1719,,3324,,1025,,1157,,113,,16708,
ARRIVALS,,0,,0,,0,,0,,26,,0,,26,
TRANSPORTSTO THE MAINLAND,,26,,20,,10,,5,,6,,1,,68,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
