PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6621,3000,1433,1014,2905,648,634,860,861,816,,,12454,6338
OTHER ACCOMODATION FACILITIES,,1221,,,,,,95,120,,,,,1316,
"HELLENIC POLICE
FACILITIES",P.D.C.,128,210,,,,,,,70,500,,,198,710
,DETENTION FACILITIES,2,40,16,18,7,24,4,6,3,35,30,63,62,186
U.N.H.C.R.,,553,603,187,236,226,245,102,116,146,161,62,103,1276,1464
N.C.S.S.,,175,180,19,18,10,10,,,,,,,204,208
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8784,,1655,,3148,,835,,1080,,92,,15594,
ARRIVALS,,72,,5,,65,,0,,0,,2,,144,
TRANSPORTSTO THE MAINLAND,,92,,11,,11,,0,,13,,1,,128,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
