PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7433,3100,1909,1014,3618,648,802,860,969,816,,,14731,6438
OTHER ACCOMODATION FACILITIES,,1177,,,,,,117,120,,,,,1294,
"HELLENIC POLICE
FACILITIES",P.D.C.,100,210,,,,,,,106,500,,,206,710
,DETENTION FACILITIES,4,40,27,18,14,24,1,6,0,36,27,63,73,187
U.N.H.C.R.,,588,681,204,248,241,240,111,116,175,189,57,105,1376,1579
N.C.S.S.,,161,168,18,18,11,12,,,,,,,190,198
OTHER N.G.O.s,,90,,,,,,,,,,,,90,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9553,,2158,,3884,,1031,,1250,,84,,17960,
ARRIVALS,,48,,0,,0,,0,,0,,0,,48,
TRANSPORTSTO THE MAINLAND,,46,,8,,40,,0,,8,,0,,102,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,29,,0,,0,,0,,29,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,29,,0,,0,,0,,29,
