PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7339,3000,1783,1014,3046,648,804,860,856,816,,,13828,6338
OTHER ACCOMODATION FACILITIES,,1141,,,,,,120,120,,,,,1261,
"HELLENIC POLICE
FACILITIES",P.D.C.,123,210,,,,,,,120,500,,,243,710
,DETENTION FACILITIES,0,40,16,18,13,24,3,6,2,35,38,63,72,186
U.N.H.C.R.,,547,651,213,248,240,245,100,116,168,189,73,101,1341,1550
N.C.S.S.,,166,172,17,18,8,8,,,,,,,191,198
OTHER N.G.O.s,,93,,,,,,,,,,,,93,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9409,,2029,,3307,,1027,,1146,,111,,17029,
ARRIVALS,,40,,0,,48,,0,,0,,0,,88,
TRANSPORTSTO THE MAINLAND,,70,,2,,0,,0,,20,,2,,94,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
