PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5806,3000,1234,1014,2817,648,633,860,896,816,,,11386,6338
OTHER ACCOMODATION FACILITIES,,1217,,,,,,95,120,,,,,1312,
"HELLENIC POLICE
FACILITIES",P.D.C.,130,210,,,,,,,67,500,,,197,710
,DETENTION FACILITIES,4,40,13,18,16,24,3,6,1,35,38,63,75,186
U.N.H.C.R.,,543,599,201,259,221,235,102,116,143,161,61,99,1271,1469
N.C.S.S.,,175,180,16,18,10,10,,,,,,,201,208
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7959,,1464,,3064,,833,,1107,,99,,14526,
ARRIVALS,,0,,0,,58,,0,,0,,0,,58,
TRANSPORTSTO THE MAINLAND,,15,,7,,0,,0,,5,,2,,29,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
