PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7492,3100,2044,1014,3602,648,792,860,1015,816,,,14945,6438
OTHER ACCOMODATION FACILITIES,,1181,,,,,,106,120,,,,,1287,
"HELLENIC POLICE
FACILITIES",P.D.C.,117,210,,,,,,,96,500,,,213,710
,DETENTION FACILITIES,5,40,34,18,12,24,1,6,0,36,32,63,84,187
U.N.H.C.R.,,604,679,206,250,214,227,90,116,151,189,65,105,1330,1566
N.C.S.S.,,160,168,17,18,11,12,,,,,,,188,198
OTHER N.G.O.s,,75,,,,,,,,,,,,75,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9634,,2301,,3839,,989,,1262,,97,,18122,
ARRIVALS,,0,,0,,5,,0,,57,,0,,62,
TRANSPORTSTO THE MAINLAND,,0,,13,,1,,0,,2,,3,,19,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,1,,0,,0,,1,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,1,,0,,0,,1,
