PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6782,3000,1442,1014,3072,648,800,860,841,816,,,12937,6338
OTHER ACCOMODATION FACILITIES,,1202,,,,,,124,120,,,,,1326,
"HELLENIC POLICE
FACILITIES",P.D.C.,114,210,,,,,,,118,500,,,232,710
,DETENTION FACILITIES,3,40,18,18,28,24,1,6,2,36,75,63,127,187
U.N.H.C.R.,,537,655,220,248,246,245,91,116,170,189,71,105,1335,1558
N.C.S.S.,,147,157,16,18,8,12,,,,,,,171,187
OTHER N.G.O.s,,396,,,,,,,,,,,,396,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,2,,2,
MIGRANTS PRESENT ON THE ISLAND,,9181,,1696,,3354,,1016,,1131,,148,,16526,
ARRIVALS,,35,,0,,0,,0,,0,,0,,35,
TRANSPORTSTO THE MAINLAND,,0,,0,,0,,0,,0,,6,,6,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
