PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7629,3100,2096,1014,3601,648,795,860,1030,816,,,15151,6438
OTHER ACCOMODATION FACILITIES,,1211,,,,,,111,120,,,,,1322,
"HELLENIC POLICE
FACILITIES",P.D.C.,108,210,,,,,,,90,500,,,198,710
,DETENTION FACILITIES,7,40,19,18,25,24,1,6,0,36,46,63,98,187
U.N.H.C.R.,,602,681,195,244,232,240,98,116,154,189,68,105,1349,1575
N.C.S.S.,,159,168,18,18,11,12,,,,,,,188,198
OTHER N.G.O.s,,80,,,,,,,,,,,,80,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9796,,2328,,3869,,1005,,1274,,114,,18386,
ARRIVALS,,0,,0,,16,,0,,41,,15,,72,
TRANSPORTSTO THE MAINLAND,,46,,17,,1,,0,,1,,2,,67,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,13,,0,,13,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,13,,0,,13,
