PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7390,3000,1570,1014,2916,648,723,860,865,816,,,13464,6338
OTHER ACCOMODATION FACILITIES,,1161,,,,,,111,120,,,,,1272,
"HELLENIC POLICE
FACILITIES",P.D.C.,139,210,,,,,,,119,500,,,258,710
,DETENTION FACILITIES,0,40,21,18,18,24,3,6,1,35,24,63,67,186
U.N.H.C.R.,,541,621,209,248,242,245,100,116,153,189,73,101,1318,1520
N.C.S.S.,,176,180,18,18,8,8,,,,,,,202,206
OTHER N.G.O.s,,92,,,,,,,,,,,,92,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9499,,1818,,3184,,937,,1138,,97,,16673,
ARRIVALS,,119,,0,,0,,0,,0,,44,,163,
TRANSPORTSTO THE MAINLAND,,52,,5,,17,,6,,2,,3,,85,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
