PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6498,3000,1371,1014,2881,648,603,860,896,816,,,12249,6338
OTHER ACCOMODATION FACILITIES,,1221,,,,,,95,120,,,,,1316,
"HELLENIC POLICE
FACILITIES",P.D.C.,135,210,,,,,,,74,500,,,209,710
,DETENTION FACILITIES,1,40,13,18,13,24,0,6,0,35,36,63,63,186
U.N.H.C.R.,,568,603,184,236,228,235,102,116,149,161,62,103,1293,1454
N.C.S.S.,,176,180,16,18,12,12,,,,,,,204,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8683,,1584,,3134,,800,,1119,,98,,15418,
ARRIVALS,,58,,45,,0,,0,,14,,0,,117,
TRANSPORTSTO THE MAINLAND,,43,,29,,0,,1,,8,,0,,81,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
