PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7378,3000,1570,1014,2932,648,710,860,849,816,,,13439,6338
OTHER ACCOMODATION FACILITIES,,1124,,,,,,111,120,,,,,1235,
"HELLENIC POLICE
FACILITIES",P.D.C.,143,210,,,,,,,57,500,,,200,710
,DETENTION FACILITIES,3,40,16,18,9,24,4,6,2,35,33,63,67,186
U.N.H.C.R.,,521,621,210,248,240,245,96,116,142,161,65,101,1274,1492
N.C.S.S.,,173,180,19,18,8,8,,,,,,,200,206
OTHER N.G.O.s,,92,,,,,,,,,,,,92,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9434,,1815,,3189,,921,,1050,,98,,16507,
ARRIVALS,,81,,0,,25,,0,,0,,0,,106,
TRANSPORTSTO THE MAINLAND,,77,,95,,0,,0,,2,,0,,174,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
