PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7339,3000,1867,1014,3609,648,816,860,931,816,,,14562,6338
OTHER ACCOMODATION FACILITIES,,1161,,,,,,117,120,,,,,1278,
"HELLENIC POLICE
FACILITIES",P.D.C.,104,210,,,,,,,104,500,,,208,710
,DETENTION FACILITIES,16,40,17,18,9,24,1,6,0,36,37,63,80,187
U.N.H.C.R.,,580,681,189,248,240,240,111,116,171,189,59,105,1350,1579
N.C.S.S.,,156,168,18,19,9,12,,,,,,,183,199
OTHER N.G.O.s,,98,,,,,,,,,,,,98,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9454,,2091,,3867,,1045,,1206,,96,,17759,
ARRIVALS,,0,,0,,0,,0,,13,,37,,50,
TRANSPORTSTO THE MAINLAND,,32,,16,,10,,6,,1,,4,,69,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
