PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5013,3000,1218,1014,2456,648,562,860,771,770,,,10020,6292
OTHER ACCOMODATION FACILITIES,,1191,,,,,,60,120,,,,,1251,
"HELLENIC POLICE
FACILITIES",P.D.C.,109,210,,,,,,,69,500,,,178,710
,DETENTION FACILITIES,4,40,21,18,13,24,5,6,0,35,19,63,62,186
U.N.H.C.R.,,480,567,208,257,173,231,90,116,112,161,74,99,1137,1431
N.C.S.S.,,163,180,19,18,12,12,,,,,,,194,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7044,,1466,,2654,,717,,952,,93,,12926,
ARRIVALS,,0,,0,,0,,0,,0,,0,,0,
TRANSPORTSTO THE MAINLAND,,3,,18,,13,,0,,0,,0,,34,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
