PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7991,3100,2381,1014,3908,648,730,860,1212,816,,,16222,6438
OTHER ACCOMODATION FACILITIES,,1190,,,,,,110,120,,,,,1300,
"HELLENIC POLICE
FACILITIES",P.D.C.,86,210,,,,,,,129,500,,,215,710
,DETENTION FACILITIES,0,40,3,18,13,24,5,6,1,36,35,63,57,187
U.N.H.C.R.,,573,677,234,250,209,236,82,116,144,189,60,105,1302,1573
N.C.S.S.,,145,158,13,18,11,12,,,,,,,169,188
OTHER N.G.O.s,,100,,,,,,,,,,,,100,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,15,,15,
MIGRANTS PRESENT ON THE ISLAND,,10085,,2631,,4141,,927,,1486,,110,,19380,
ARRIVALS,,0,,0,,0,,0,,0,,0,,0,
TRANSPORTSTO THE MAINLAND,,427,,18,,0,,10,,6,,0,,461,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,5,,0,,0,,0,,0,,5,
TOTAL DEPARTURES FROM THE ISLAND,,0,,5,,0,,0,,0,,0,,5,
