PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7995,3100,2011,1014,3604,648,766,860,1162,816,,,15538,6438
OTHER ACCOMODATION FACILITIES,,1193,,,,,,98,120,,,,,1291,
"HELLENIC POLICE
FACILITIES",P.D.C.,131,210,,,,,,,104,500,,,235,710
,DETENTION FACILITIES,6,40,23,18,13,24,6,6,0,36,29,73,77,197
U.N.H.C.R.,,620,677,203,250,222,227,103,116,163,189,68,105,1379,1564
N.C.S.S.,,164,168,17,18,11,12,,,,,,,192,198
OTHER N.G.O.s,,83,,,,,,,,,,,,83,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,10192,,2254,,3850,,973,,1429,,97,,18795,
ARRIVALS,,59,,0,,22,,0,,60,,0,,141,
TRANSPORTSTO THE MAINLAND,,64,,11,,3,,2,,0,,2,,82,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
