PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8319,3100,2126,1014,3726,648,748,860,1130,816,,,16049,6438
OTHER ACCOMODATION FACILITIES,,1199,,,,,,90,120,,,,,1289,
"HELLENIC POLICE
FACILITIES",P.D.C.,130,210,,,,,,,82,500,,,212,710
,DETENTION FACILITIES,2,40,17,18,13,24,2,6,2,36,29,73,65,197
U.N.H.C.R.,,622,677,219,250,208,227,101,116,155,189,70,105,1375,1564
N.C.S.S.,,164,160,18,18,11,12,,,,,,,193,190
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,10523,,2380,,3958,,941,,1369,,99,,19270,
ARRIVALS,,47,,0,,0,,0,,4,,0,,51,
TRANSPORTSTO THE MAINLAND,,1,,2,,0,,1,,0,,0,,4,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,13,,0,,0,,0,,0,,0,,13,
TOTAL DEPARTURES FROM THE ISLAND,,13,,0,,0,,0,,0,,0,,13,
