PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,4965,3000,1410,894,2383,700,568,880,598,772,,,9924,6246
OTHER ACCOMODATION FACILITIES,,1036,,,,,,60,120,,,,,1096,
"HELLENIC POLICE
FACILITIES",P.D.C.,123,210,,,,,,,86,500,,,209,710
,DETENTION FACILITIES,4,40,22,18,19,24,8,6,0,35,22,65,75,188
U.N.H.C.R.,,445,534,220,251,125,170,87,116,102,130,74,95,1053,1296
N.C.S.S.,,129,180,15,18,16,16,,,,,,,160,214
OTHER N.G.O.s,,89,,,,,,,,,,,,89,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,6791,,1667,,2543,,723,,786,,96,,12606,
ARRIVALS,,0,,0,,0,,0,,9,,30,,39,
TRANSPORTSTO THE MAINLAND,,46,,16,,1,,3,,18,,0,,84,
DEPARTURES(EU-TURKEY STATEMENT),,3,,4,,0,,0,,0,,0,,7,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,3,,4,,0,,0,,0,,0,,7,
