PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,4806,3000,1297,894,2349,700,540,880,684,772,,,9676,6246
OTHER ACCOMODATION FACILITIES,,1152,,,,,,60,120,,,,,1212,
"HELLENIC POLICE
FACILITIES",P.D.C.,97,210,,,,,,,96,500,,,193,710
,DETENTION FACILITIES,3,40,29,18,21,24,4,6,0,35,16,63,73,186
U.N.H.C.R.,,461,557,216,251,157,170,85,116,119,130,72,95,1110,1319
N.C.S.S.,,170,180,17,18,10,10,,,,,,,197,208
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,6773,,1559,,2537,,689,,899,,88,,12545,
ARRIVALS,,0,,0,,51,,0,,0,,0,,51,
TRANSPORTSTO THE MAINLAND,,9,,6,,0,,0,,1,,0,,16,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,22,,0,,0,,0,,0,,0,,22,
TOTAL DEPARTURES FROM THE ISLAND,,22,,0,,0,,0,,0,,0,,22,
