PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,4968,3000,1217,1014,2442,648,562,860,737,770,,,9926,6292
OTHER ACCOMODATION FACILITIES,,1191,,,,,,60,120,,,,,1251,
"HELLENIC POLICE
FACILITIES",P.D.C.,113,210,,,,,,,68,500,,,181,710
,DETENTION FACILITIES,3,40,19,18,14,24,5,6,0,35,25,63,66,186
U.N.H.C.R.,,483,567,217,257,173,231,90,116,112,161,74,99,1149,1431
N.C.S.S.,,175,180,16,18,12,12,,,,,,,203,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7017,,1469,,2641,,717,,917,,99,,12860,
ARRIVALS,,0,,0,,0,,0,,0,,0,,0,
TRANSPORTSTO THE MAINLAND,,2,,13,,0,,0,,3,,0,,18,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,6,,0,,0,,0,,0,,6,
TOTAL DEPARTURES FROM THE ISLAND,,0,,6,,0,,0,,0,,0,,6,
