PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5413,3000,1191,1014,2473,648,642,860,846,816,,,10565,6338
OTHER ACCOMODATION FACILITIES,,1200,,,,,,89,120,,,,,1289,
"HELLENIC POLICE
FACILITIES",P.D.C.,136,210,,,,,,,68,500,,,204,710
,DETENTION FACILITIES,6,40,12,18,13,24,4,6,0,35,30,68,65,191
U.N.H.C.R.,,511,599,201,259,221,235,98,116,135,161,60,99,1226,1469
N.C.S.S.,,176,180,16,18,12,12,,,,,,,204,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7526,,1420,,2719,,833,,1049,,90,,13637,
ARRIVALS,,7,,0,,0,,73,,0,,0,,80,
TRANSPORTSTO THE MAINLAND,,11,,4,,7,,1,,0,,0,,23,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
