PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8827,3100,2269,1014,3989,648,673,860,1324,816,,,17082,6438
OTHER ACCOMODATION FACILITIES,,1185,,,,,,90,120,,,,,1275,
"HELLENIC POLICE
FACILITIES",P.D.C.,101,210,,,,,,,132,500,,,233,710
,DETENTION FACILITIES,5,40,21,18,15,24,6,6,0,36,130,63,177,187
U.N.H.C.R.,,617,677,214,250,210,227,84,116,153,189,60,105,1338,1564
N.C.S.S.,,145,158,17,18,11,12,,,,,,,173,188
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,10967,,2521,,4225,,853,,1609,,190,,20365,
ARRIVALS,,0,,1,,12,,0,,0,,0,,13,
TRANSPORTSTO THE MAINLAND,,147,,9,,69,,0,,9,,6,,240,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
