PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,4978,3000,1244,1014,2374,648,518,860,780,770,,,9894,6292
OTHER ACCOMODATION FACILITIES,,1207,,,,,,60,120,,,,,1267,
"HELLENIC POLICE
FACILITIES",P.D.C.,106,210,,,,,,,77,500,,,183,710
,DETENTION FACILITIES,4,40,22,18,16,24,7,6,0,35,19,63,68,186
U.N.H.C.R.,,474,567,218,251,173,231,85,116,115,130,72,99,1137,1394
N.C.S.S.,,163,180,19,18,12,12,,,,,,,194,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7016,,1503,,2575,,670,,972,,91,,12827,
ARRIVALS,,0,,0,,53,,0,,0,,0,,53,
TRANSPORTSTO THE MAINLAND,,33,,28,,7,,4,,14,,0,,86,
DEPARTURES(EU-TURKEY STATEMENT),,3,,1,,0,,0,,0,,0,,4,
DEPARTURES (1.0.M.),,0,,0,,0,,1,,0,,0,,1,
TOTAL DEPARTURES FROM THE ISLAND,,3,,1,,0,,1,,0,,0,,5,
