PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8633,3100,2245,1014,4011,648,673,860,1290,816,,,16852,6438
OTHER ACCOMODATION FACILITIES,,1185,,,,,,90,120,,,,,1275,
"HELLENIC POLICE
FACILITIES",P.D.C.,103,210,,,,,,,149,500,,,252,710
,DETENTION FACILITIES,3,40,17,18,13,24,6,6,4,36,7,63,50,187
U.N.H.C.R.,,618,677,208,250,201,227,84,116,153,189,60,105,1324,1564
N.C.S.S.,,145,158,17,18,11,12,,,,,,,173,188
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,44,,44,
MIGRANTS PRESENT ON THE ISLAND,,10774,,2487,,4236,,853,,1596,,111,,20057,
ARRIVALS,,193,,61,,0,,0,,0,,0,,254,
TRANSPORTSTO THE MAINLAND,,1,,6,,1,,0,,0,,3,,11,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,10,,0,,0,,0,,0,,10,
TOTAL DEPARTURES FROM THE ISLAND,,0,,10,,0,,0,,0,,0,,10,
