PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8378,3100,2386,1014,4136,648,759,860,1276,816,,,16935,6438
OTHER ACCOMODATION FACILITIES,,1190,,,,,,95,120,,,,,1285,
"HELLENIC POLICE
FACILITIES",P.D.C.,91,210,,,,,,,123,500,,,214,710
,DETENTION FACILITIES,1,40,9,18,13,24,4,6,2,36,27,63,56,187
U.N.H.C.R.,,590,677,229,250,209,236,86,116,141,189,60,105,1315,1573
N.C.S.S.,,144,158,16,18,11,12,,,,,,,171,188
OTHER N.G.O.s,,100,,,,,,,,,,,,100,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,15,,15,
MIGRANTS PRESENT ON THE ISLAND,,10494,,2640,,4369,,944,,1542,,102,,20091,
ARRIVALS,,0,,0,,97,,0,,36,,73,,206,
TRANSPORTSTO THE MAINLAND,,0,,0,,7,,19,,18,,1,,45,
DEPARTURES(EU-TURKEY STATEMENT),,2,,0,,0,,2,,2,,0,,6,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,2,,0,,0,,2,,2,,0,,6,
