PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8388,3100,2189,1014,3810,648,717,860,1220,816,,,16324,6438
OTHER ACCOMODATION FACILITIES,,1198,,,,,,90,120,,,,,1288,
"HELLENIC POLICE
FACILITIES",P.D.C.,108,210,,,,,,,73,500,,,181,710
,DETENTION FACILITIES,4,40,17,18,10,24,4,6,1,36,114,63,150,187
U.N.H.C.R.,,628,677,216,250,211,227,103,116,162,189,67,105,1387,1564
N.C.S.S.,,145,158,18,18,7,12,,,,,,,170,188
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,10,,10,
MIGRANTS PRESENT ON THE ISLAND,,10558,,2440,,4038,,914,,1456,,191,,19597,
ARRIVALS,,143,,0,,0,,0,,35,,10,,188,
TRANSPORTSTO THE MAINLAND,,3,,3,,0,,0,,0,,0,,6,
DEPARTURES(EU-TURKEY STATEMENT),,16,,1,,5,,0,,0,,0,,22,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,16,,1,,5,,0,,0,,0,,22,
