PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7552,3100,2049,1014,3617,648,792,860,997,816,,,15007,6438
OTHER ACCOMODATION FACILITIES,,1181,,,,,,107,120,,,,,1288,
"HELLENIC POLICE
FACILITIES",P.D.C.,119,210,,,,,,,93,500,,,212,710
,DETENTION FACILITIES,14,40,18,18,13,24,1,6,1,36,44,63,91,187
U.N.H.C.R.,,598,681,207,250,232,227,98,116,148,189,68,105,1351,1568
N.C.S.S.,,159,168,18,18,11,12,,,,,,,188,198
OTHER N.G.O.s,,75,,,,,,,,,,,,75,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9698,,2292,,3873,,998,,1239,,112,,18212,
ARRIVALS,,15,,0,,47,,0,,0,,0,,62,
TRANSPORTSTO THE MAINLAND,,33,,19,,15,,24,,10,,1,,102,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
