PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8678,3100,2268,1014,3855,648,679,860,1258,816,,,16738,6438
OTHER ACCOMODATION FACILITIES,,1190,,,,,,90,120,,,,,1280,
"HELLENIC POLICE
FACILITIES",P.D.C.,105,210,,,,,,,135,500,,,240,710
,DETENTION FACILITIES,1,40,21,18,13,24,4,6,0,36,57,63,96,187
U.N.H.C.R.,,590,677,221,250,205,236,90,116,154,189,60,105,1320,1573
N.C.S.S.,,144,158,16,18,11,12,,,,,,,171,188
OTHER N.G.O.s,,100,,,,,,,,,,,,100,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,10808,,2526,,4084,,863,,1547,,117,,19945,
ARRIVALS,,31,,10,,47,,0,,35,,0,,123,
TRANSPORTSTO THE MAINLAND,,102,,2,,3,,0,,5,,12,,124,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
