PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6183,3000,1462,1014,2903,648,633,860,940,816,,,12121,6338
OTHER ACCOMODATION FACILITIES,,1176,,,,,,95,120,,,,,1271,
"HELLENIC POLICE
FACILITIES",P.D.C.,128,210,,,,,,,65,500,,,193,710
,DETENTION FACILITIES,3,40,15,18,19,24,4,6,1,35,37,63,79,186
U.N.H.C.R.,,544,598,206,236,217,235,102,116,144,161,61,103,1274,1449
N.C.S.S.,,176,180,16,18,12,12,,,,,,,204,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8294,,1699,,3151,,834,,1150,,98,,15226,
ARRIVALS,,31,,0,,0,,0,,0,,0,,31,
TRANSPORTSTO THE MAINLAND,,0,,1,,4,,2,,1,,0,,8,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
