PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,4941,3000,1297,894,2372,700,540,880,685,772,,,9835,6246
OTHER ACCOMODATION FACILITIES,,1152,,,,,,60,120,,,,,1212,
"HELLENIC POLICE
FACILITIES",P.D.C.,102,210,,,,,,,94,500,,,196,710
,DETENTION FACILITIES,3,40,29,18,15,24,4,6,0,35,17,63,68,186
U.N.H.C.R.,,461,557,216,251,157,170,85,116,119,130,72,95,1110,1319
N.C.S.S.,,170,180,17,18,10,10,,,,,,,197,208
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,6913,,1559,,2554,,689,,898,,89,,12702,
ARRIVALS,,83,,0,,25,,0,,0,,31,,139,
TRANSPORTSTO THE MAINLAND,,0,,0,,0,,0,,0,,0,,0,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,6,,0,,0,,0,,6,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,6,,0,,0,,0,,6,
