PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7513,3100,1892,1014,3677,648,808,860,989,816,,,14879,6438
OTHER ACCOMODATION FACILITIES,,1177,,,,,,117,120,,,,,1294,
"HELLENIC POLICE
FACILITIES",P.D.C.,115,210,,,,,,,101,500,,,216,710
,DETENTION FACILITIES,4,40,24,18,9,24,3,6,1,36,30,68,71,192
U.N.H.C.R.,,579,681,199,248,241,240,111,116,175,189,57,105,1362,1579
N.C.S.S.,,153,168,18,18,10,12,,,,,,,181,198
OTHER N.G.O.s,,90,,,,,,,,,,,,90,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9631,,2133,,3937,,1039,,1266,,87,,18093,
ARRIVALS,,66,,0,,0,,0,,15,,9,,90,
TRANSPORTSTO THE MAINLAND,,39,,6,,5,,4,,10,,2,,66,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
