PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7014,3000,1515,1014,3171,648,800,860,875,816,,,13375,6338
OTHER ACCOMODATION FACILITIES,,1217,,,,,,124,120,,,,,1341,
"HELLENIC POLICE
FACILITIES",P.D.C.,99,210,,,,,,,114,500,,,213,710
,DETENTION FACILITIES,1,40,20,18,16,24,0,6,7,36,35,63,79,187
U.N.H.C.R.,,559,661,217,248,258,245,85,116,164,189,40,105,1323,1564
N.C.S.S.,,151,158,16,18,6,12,,,,,,,173,188
OTHER N.G.O.s,,337,,,,,,,,,,,,337,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9378,,1768,,3451,,1009,,1160,,75,,16841,
ARRIVALS,,0,,0,,0,,0,,14,,36,,50,
TRANSPORTSTO THE MAINLAND,,68,,16,,16,,0,,1,,10,,111,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
