PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8569,3100,2198,1014,3963,648,690,860,1238,816,,,16658,6438
OTHER ACCOMODATION FACILITIES,,1204,,,,,,90,120,,,,,1294,
"HELLENIC POLICE
FACILITIES",P.D.C.,99,210,,,,,,,146,500,,,245,710
,DETENTION FACILITIES,2,40,13,18,11,24,4,6,2,36,20,63,52,187
U.N.H.C.R.,,622,677,221,250,215,227,103,116,169,189,60,105,1390,1564
N.C.S.S.,,145,160,18,18,8,12,,,,,,,171,190
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,10,,10,
MIGRANTS PRESENT ON THE ISLAND,,10728,,2450,,4197,,887,,1555,,90,,19907,
ARRIVALS,,136,,0,,85,,0,,25,,12,,258,
TRANSPORTSTO THE MAINLAND,,1,,3,,0,,0,,0,,0,,4,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,10,,9,,0,,0,,0,,19,
TOTAL DEPARTURES FROM THE ISLAND,,0,,10,,9,,0,,0,,0,,19,
