PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7290,3000,1861,1014,3603,648,816,860,928,816,,,14498,6338
OTHER ACCOMODATION FACILITIES,,1161,,,,,,117,120,,,,,1278,
"HELLENIC POLICE
FACILITIES",P.D.C.,104,210,,,,,,,106,500,,,210,710
,DETENTION FACILITIES,19,40,17,18,9,24,0,6,1,36,36,63,82,187
U.N.H.C.R.,,580,681,189,248,240,240,111,116,171,189,57,105,1348,1579
N.C.S.S.,,153,168,18,18,10,12,,,,,,,181,198
OTHER N.G.O.s,,98,,,,,,,,,,,,98,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9405,,2085,,3862,,1044,,1206,,93,,17695,
ARRIVALS,,0,,0,,0,,0,,0,,0,,0,
TRANSPORTSTO THE MAINLAND,,36,,13,,0,,0,,0,,4,,53,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
