PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5896,3000,1445,1014,2859,648,633,860,940,816,,,11773,6338
OTHER ACCOMODATION FACILITIES,,1176,,,,,,95,120,,,,,1271,
"HELLENIC POLICE
FACILITIES",P.D.C.,130,210,,,,,,,66,500,,,196,710
,DETENTION FACILITIES,2,40,15,18,16,24,3,6,1,35,27,63,64,186
U.N.H.C.R.,,544,598,206,236,217,235,102,116,144,161,61,103,1274,1449
N.C.S.S.,,176,180,16,18,12,12,,,,,,,204,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8008,,1682,,3104,,833,,1151,,88,,14866,
ARRIVALS,,0,,0,,45,,0,,0,,31,,76,
TRANSPORTSTO THE MAINLAND,,15,,5,,0,,7,,2,,0,,29,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
