PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,4945,3000,1343,894,2360,700,559,880,592,772,,,9799,6246
OTHER ACCOMODATION FACILITIES,,1119,,,,,,60,120,,,,,1179,
"HELLENIC POLICE
FACILITIES",P.D.C.,115,210,,,,,,,80,500,,,195,710
,DETENTION FACILITIES,4,40,29,18,18,24,6,6,0,35,23,63,80,186
U.N.H.C.R.,,440,534,220,251,139,170,87,116,102,130,74,95,1062,1296
N.C.S.S.,,155,170,16,18,11,11,,,,,,,182,199
OTHER N.G.O.s,,91,,,,,,,,,,,,91,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,6869,,1608,,2528,,712,,774,,97,,12588,
ARRIVALS,,0,,0,,0,,0,,0,,0,,0,
TRANSPORTSTO THE MAINLAND,,7,,61,,22,,0,,2,,0,,92,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,6,,0,,0,,0,,6,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,6,,0,,0,,0,,6,
