PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5241,3000,1216,1014,2527,648,574,860,758,770,,,10316,6292
OTHER ACCOMODATION FACILITIES,,1191,,,,,,60,120,,,,,1251,
"HELLENIC POLICE
FACILITIES",P.D.C.,106,210,,,,,,,68,500,,,174,710
,DETENTION FACILITIES,4,40,13,18,14,24,4,6,0,35,30,68,65,191
U.N.H.C.R.,,483,567,217,257,173,231,90,116,112,161,74,99,1149,1431
N.C.S.S.,,175,180,16,18,12,12,,,,,,,203,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7284,,1462,,2726,,728,,938,,104,,13242,
ARRIVALS,,144,,0,,53,,0,,16,,17,,230,
TRANSPORTSTO THE MAINLAND,,1,,1,,2,,0,,0,,3,,7,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,9,,0,,0,,0,,3,,0,,12,
TOTAL DEPARTURES FROM THE ISLAND,,9,,0,,0,,0,,3,,0,,12,
